unsorted vector
bubble sort	       1	   0.0002620	           0
heap sort	       1	   0.0004930	           0
insertion sort	       1	   0.0001880	           0
merge sort	       1	   0.0003680	           0
qsort MoT	       1	   0.0002300	           0
qsort first	       1	   0.0002120	           0
qsort random	       1	   0.0002070	           0
selection sort	       1	   0.0002000	           0
bubble sort	       2	   0.0002870	           1
heap sort	       2	   0.0005570	           1
insertion sort	       2	   0.0002290	           1
merge sort	       2	   0.0006830	           1
qsort MoT	       2	   0.0004010	           4
qsort first	       2	   0.0003380	           3
qsort random	       2	   0.0005320	           3
selection sort	       2	   0.0002530	           1
bubble sort	       4	   0.0004750	           7
heap sort	       4	   0.0009840	           8
insertion sort	       4	   0.0004330	           7
merge sort	       4	   0.0014570	           6
qsort MoT	       4	   0.0008680	          17
qsort first	       4	   0.0006510	          11
qsort random	       4	   0.0009090	          11
selection sort	       4	   0.0004840	           7
bubble sort	       8	   0.0002560	          31
heap sort	       8	   0.0004250	          29
insertion sort	       8	   0.0001710	          22
merge sort	       8	   0.0005660	          16
qsort MoT	       8	   0.0003700	          42
qsort first	       8	   0.0002970	          31
qsort random	       8	   0.0004290	          32
selection sort	       8	   0.0002160	          31
bubble sort	      16	   0.0009300	         127
heap sort	      16	   0.0009870	          82
insertion sort	      16	   0.0004310	          77
merge sort	      16	   0.0011710	          46
qsort MoT	      16	   0.0009900	         118
qsort first	      16	   0.0008740	          92
qsort random	      16	   0.0011000	          88
selection sort	      16	   0.0006590	         127
bubble sort	      32	   0.0037660	         510
heap sort	      32	   0.0024260	         232
insertion sort	      32	   0.0014070	         288
merge sort	      32	   0.0025360	         124
qsort MoT	      32	   0.0021970	         268
qsort first	      32	   0.0020980	         234
qsort random	      32	   0.0024490	         215
selection sort	      32	   0.0023790	         510
bubble sort	      64	   0.0142890	        2044
heap sort	      64	   0.0056230	         579
insertion sort	      64	   0.0049340	        1092
merge sort	      64	   0.0060410	         311
qsort MoT	      64	   0.0049150	         634
qsort first	      64	   0.0047050	         576
qsort random	      64	   0.0053930	         520
selection sort	      64	   0.0091890	        2044
bubble sort	     128	   0.0550030	        8185
heap sort	     128	   0.0127980	        1407
insertion sort	     128	   0.0179600	        4246
merge sort	     128	   0.0130810	         733
qsort MoT	     128	   0.0106100	        1433
qsort first	     128	   0.0103930	        1268
qsort random	     128	   0.0113980	        1208
selection sort	     128	   0.0361420	        8185
bubble sort	     256	   0.2221620	       32753
heap sort	     256	   0.0287300	        3307
insertion sort	     256	   0.0679760	       16693
merge sort	     256	   0.0284780	        1730
qsort MoT	     256	   0.0231210	        3157
qsort first	     256	   0.0221950	        2899
qsort random	     256	   0.0246660	        2803
selection sort	     256	   0.1443700	       32755
bubble sort	     512	   0.8916790	      131045
heap sort	     512	   0.0640300	        7624
insertion sort	     512	   0.2635440	       66148
merge sort	     512	   0.0614320	        3962
qsort MoT	     512	   0.0496580	        7384
qsort first	     512	   0.0488900	        6839
qsort random	     512	   0.0527010	        6396
selection sort	     512	   0.5765360	      131046
bubble sort	    1024	   3.5896720	      524235
heap sort	    1024	   0.1443430	       17309
insertion sort	    1024	   1.0362930	      263369
